column_name,measure,value_2020_2,value_2021_1,values_equal
LAU2011Level1Code,distinct_values,0,0,TRUE
LAU2011Level1Code,minimum_value,NULL,NULL,TRUE
LAU2011Level1Code,maximum_value,NULL,NULL,TRUE
LAU2011Level2Code,data_type,char(9),char(9),TRUE
LAU2011Level2Code,null_count,224174,224827,FALSE
LAU2011Level2Code,distinct_values,0,0,TRUE
LAU2011Level2Code,minimum_value,NULL,NULL,TRUE
LAU2011Level2Code,maximum_value,NULL,NULL,TRUE
LAU2018Level1Code,data_type,char(9),char(9),TRUE
LAU2018Level1Code,null_count,224174,224827,FALSE
LAU2018Level1Code,distinct_values,0,0,TRUE
LAU2018Level1Code,minimum_value,NULL,NULL,TRUE
LAU2018Level1Code,maximum_value,NULL,NULL,TRUE
LAU2019Level1Code,data_type,char(9),char(9),TRUE
LAU2019Level1Code,null_count,0,0,TRUE
LAU2019Level1Code,distinct_values,41,41,TRUE
LAU2019Level1Code,minimum_value,S30000003,S30000003,TRUE
LAU2019Level1Code,maximum_value,S30000053,S30000053,TRUE
LinkedSmallUserPostcode,data_type,char(9),char(9),TRUE
LinkedSmallUserPostcode,null_count,0,0,TRUE
LinkedSmallUserPostcode,distinct_values,9130,9126,FALSE
LinkedSmallUserPostcode,minimum_value,NA,NA,TRUE
LinkedSmallUserPostcode,maximum_value,ZE2 9XP,ZE2 9XP,TRUE
LocalAuthority2DigitCode,data_type,char(2),char(2),TRUE
LocalAuthority2DigitCode,null_count,0,0,TRUE
LocalAuthority2DigitCode,distinct_values,32,32,TRUE
LocalAuthority2DigitCode,minimum_value,1,1,TRUE
LocalAuthority2DigitCode,maximum_value,32,32,TRUE
LocalAuthority3DigitCode,data_type,char(3),char(3),TRUE
LocalAuthority3DigitCode,null_count,0,0,TRUE
LocalAuthority3DigitCode,distinct_values,32,32,TRUE
LocalAuthority3DigitCode,minimum_value,100,100,TRUE
LocalAuthority3DigitCode,maximum_value,400,400,TRUE
LocalAuthorityName,data_type,varchar(50),varchar(50),TRUE
LocalAuthorityName,null_count,0,0,TRUE
LocalAuthorityName,distinct_values,32,32,TRUE
LocalAuthorityName,minimum_value,Aberdeen City,Aberdeen City,TRUE
LocalAuthorityName,maximum_value,West Lothian,West Lothian,TRUE
LocalEnterpriseCompany,data_type,char(9),char(9),TRUE
LocalEnterpriseCompany,null_count,224174,224827,FALSE
LocalEnterpriseCompany,distinct_values,0,0,TRUE
LocalEnterpriseCompany,minimum_value,NULL,NULL,TRUE
LocalEnterpriseCompany,maximum_value,NULL,NULL,TRUE
LocalGovernmentDistrict1991Code,data_type,char(2),char(2),TRUE
LocalGovernmentDistrict1991Code,null_count,0,0,TRUE
LocalGovernmentDistrict1991Code,distinct_values,56,56,TRUE
LocalGovernmentDistrict1991Code,minimum_value,1,1,TRUE
LocalGovernmentDistrict1991Code,maximum_value,56,56,TRUE
LocalGovernmentDistrict1995Code,data_type,char(2),char(2),TRUE
LocalGovernmentDistrict1995Code,null_count,0,0,TRUE
LocalGovernmentDistrict1995Code,distinct_values,56,56,TRUE
LocalGovernmentDistrict1995Code,minimum_value,1,1,TRUE
LocalGovernmentDistrict1995Code,maximum_value,56,56,TRUE
LocalGovernmentRegion1991Code,data_type,int,int,TRUE
LocalGovernmentRegion1991Code,null_count,224174,224827,FALSE
LocalGovernmentRegion1991Code,distinct_values,0,0,TRUE
LocalGovernmentRegion1991Code,minimum_value,NULL,NULL,TRUE
LocalGovernmentRegion1991Code,maximum_value,NULL,NULL,TRUE
LocalGovernmentRegion1995Code,data_type,int,int,TRUE
LocalGovernmentRegion1995Code,null_count,224174,224827,FALSE
LocalGovernmentRegion1995Code,distinct_values,0,0,TRUE
LocalGovernmentRegion1995Code,minimum_value,NULL,NULL,TRUE
LocalGovernmentRegion1995Code,maximum_value,NULL,NULL,TRUE
Locality1991Code,data_type,char(3),char(3),TRUE
Locality1991Code,null_count,224174,224827,FALSE
Locality1991Code,distinct_values,0,0,TRUE
Locality1991Code,minimum_value,NULL,NULL,TRUE
Locality1991Code,maximum_value,NULL,NULL,TRUE
Locality2001Code,data_type,char(6),char(6),TRUE
Locality2001Code,null_count,224174,224827,FALSE
Locality2001Code,distinct_values,0,0,TRUE
Locality2001Code,minimum_value,NULL,NULL,TRUE
Locality2001Code,maximum_value,NULL,NULL,TRUE
Locality2003Code,data_type,char(6),char(6),TRUE
Locality2003Code,null_count,224174,224827,FALSE
Locality2003Code,distinct_values,0,0,TRUE
Locality2003Code,minimum_value,NULL,NULL,TRUE
Locality2003Code,maximum_value,NULL,NULL,TRUE
Locality2004Code,data_type,char(6),char(6),TRUE
Locality2004Code,null_count,224174,224827,FALSE
Locality2004Code,distinct_values,0,0,TRUE
Locality2004Code,minimum_value,NULL,NULL,TRUE
Locality2004Code,maximum_value,NULL,NULL,TRUE
Locality2006Code,data_type,char(6),char(6),TRUE
Locality2006Code,null_count,224174,224827,FALSE
Locality2006Code,distinct_values,0,0,TRUE
Locality2006Code,minimum_value,NULL,NULL,TRUE
Locality2006Code,maximum_value,NULL,NULL,TRUE
Locality2008Code,data_type,char(6),char(6),TRUE
Locality2008Code,null_count,224174,224827,FALSE
Locality2008Code,distinct_values,0,0,TRUE
Locality2008Code,minimum_value,NULL,NULL,TRUE
Locality2008Code,maximum_value,NULL,NULL,TRUE
Locality2010Code,data_type,char(6),char(6),TRUE
Locality2010Code,null_count,224174,224827,FALSE
Locality2010Code,distinct_values,0,0,TRUE
Locality2010Code,minimum_value,NULL,NULL,TRUE
Locality2010Code,maximum_value,NULL,NULL,TRUE
Locality2012Code,data_type,char(6),char(6),TRUE
Locality2012Code,null_count,224174,224827,FALSE
Locality2012Code,distinct_values,0,0,TRUE
Locality2012Code,minimum_value,NULL,NULL,TRUE
Locality2012Code,maximum_value,NULL,NULL,TRUE
MultiMemberWard2007,data_type,int,int,TRUE
MultiMemberWard2007,null_count,224174,224827,FALSE
MultiMemberWard2007,distinct_values,0,0,TRUE
MultiMemberWard2007,minimum_value,NULL,NULL,TRUE
MultiMemberWard2007,maximum_value,NULL,NULL,TRUE
MultiStoreyAccomInd,data_type,char(1),char(1),TRUE
MultiStoreyAccomInd,null_count,224174,224827,FALSE
MultiStoreyAccomInd,distinct_values,0,0,TRUE
MultiStoreyAccomInd,minimum_value,NULL,NULL,TRUE
MultiStoreyAccomInd,maximum_value,NULL,NULL,TRUE
NationalPark,data_type,int,int,TRUE
NationalPark,null_count,224174,224827,FALSE
NationalPark,distinct_values,0,0,TRUE
NationalPark,minimum_value,NULL,NULL,TRUE
NationalPark,maximum_value,NULL,NULL,TRUE
NUTS,data_type,char(5),char(5),TRUE
NUTS,null_count,224174,224827,FALSE
NUTS,distinct_values,0,0,TRUE
NUTS,minimum_value,NULL,NULL,TRUE
NUTS,maximum_value,NULL,NULL,TRUE
NUTS2013Level2Code,data_type,char(4),char(4),TRUE
NUTS2013Level2Code,null_count,224174,224827,FALSE
NUTS2013Level2Code,distinct_values,0,0,TRUE
